order_id,customer_id,order_date,status,amount
5137,49,03/11/2024,Returned,54.15
5138,36,12/10/2024,returned,236.39
5139,43,2025-02-11,Cancelled,$78.08
5140,32,2025-05-22,Cancelled,335.93
5141,26,2024-05-20,Returned,$176.79
5142,29,07/01/2025,completed,$23.94
5143,60,12/18/2024,,39.35
5144,58,02/21/2025,COMPLETED,$18.14
5145,40,2024-05-23,Cancelled,120.85
5146,51,07/19/2024, completed,$33.68
5147,49,2024-10-16,returned,362.78
5148,17,06/29/2025,Cancelled,$89.66
5149,33,2024-10-01,completed,85.99
5150,41,11/11/2024,cancelled,74.15
5151,8,03/21/2024,Returned,386.73
5152,34,2024-05-18,,$254.87
5153,52,2025-02-15,Returned,$234.33
5154,49,2024-04-24,COMPLETED,249.23
5155,19,2024-10-17,Returned,295.35
5156,15,2024-07-02,cancelled,$171.73
5157,4,2024-06-15,completed,$16.74
5158,23,2024-12-08,Returned,217.37
5159,20,2024-06-16,Cancelled,$70.18
5160,52,10/07/2024,Cancelled,45.56
5161,56,2024-11-03,returned,$387.12
5162,53,01/24/2025,Cancelled,243.94
5163,32,2024-10-12,completed,25.25
5164,26,2024-08-09,completed,$365.4
5165,40,2024-08-20, completed,211.16
5166,42,04/01/2025,COMPLETED,$207.36
5167,41,03/21/2024,Cancelled,$288.44
5168,55,04/23/2025,Cancelled,39.55
5169,12,09/19/2024,returned,$99.06
5170,22,10/27/2024,returned,257.26
5171,44,2024-10-29, completed,41.49
5172,11,10/24/2024, completed,378.32
5173,21,08/15/2024,Returned,$243.68
5174,55,2025-05-26,,281.47
5175,28,09/27/2024,returned,$317.37
5176,38,04/20/2024,COMPLETED,$64.68
5177,7,2024-07-15,COMPLETED,$282.69
5178,9,03/15/2024,completed,33.78
5179,24,08/23/2024,,$357.38
5180,56,2025-02-28, completed,$87.64
5181,55,04/30/2024,returned,$195.03
5182,51,2024-08-28,Returned,$174.12
5183,17,2024-11-16,Returned,364.85
5184,39,2025-06-30,returned,$250.36
5185,27,2024-03-03,Completed,143.94
5186,35,09/09/2024,Completed,$233.22
5187,28,02/02/2024,returned,306.77
5188,1,2025-01-22,Cancelled,280.52
5189,32,01/21/2025,,110.15
5190,19,09/07/2024, completed,$203.34
5191,41,2024-04-23,,316.48
5192,23,2024-05-08,cancelled,357.6
5193,28,2024-02-26,returned,111.17
5194,33,2024-07-25, completed,$378.02
5195,39,2024-03-06,Returned,212.52
5196,29,2024-12-28,Cancelled,$278.11
5197,15,2024-06-09, completed,$207.02
5198,49,07/08/2024, completed,291.48
5199,23,2024-07-14, completed,109.41
5200,7,07/18/2024,Completed,$84.61
5201,10,12/06/2024,cancelled,$115.34
5202,59,2024-05-20,cancelled,$189.86
5203,55,04/23/2025,,$392.51
5204,2,2024-06-25,cancelled,$10.16
5205,55,04/16/2025,cancelled,339.63
5206,42,09/22/2024,Completed,$185.93
5207,41,05/11/2024, completed,314.69
5208,41,2024-07-10,cancelled,$197.24
5209,55,03/26/2025,COMPLETED,$358.64
5210,1,03/05/2025,Completed,22.95
5211,11,08/23/2024,Completed,340.09
5212,14,06/02/2025,Returned,212.5
5213,30,09/03/2024,COMPLETED,161.86
5214,8,01/30/2025,returned,$115.55
5215,1,2024-04-17,cancelled,254.4
5216,38,2024-10-29,returned,298.66
5217,34,09/12/2024,cancelled,$189.15
5218,60,04/11/2024, completed,191.91
5219,15,2024-06-29,cancelled,$191.5
5220,36,06/08/2024,Cancelled,147.06
5221,18,02/20/2025,cancelled,274.1
5222,52,2024-11-14,returned,133.57
5223,40,04/28/2024,Returned,$67.88
5224,25,2024-03-30,Returned,$315.34
5225,54,01/19/2025,completed,$265.66
5226,5,2024-11-27,Completed,234.77
5227,12,2025-05-08,COMPLETED,89.75
5228,35,07/21/2024,Completed,270.04
5229,51,2024-12-01, completed,216.07
5230,29,05/30/2024,returned,172.26
5231,31,06/19/2025,Cancelled,$191.1
5232,32,2024-10-10,,243.04
5233,11,2024-12-25,Cancelled,268.8
5234,24,2025-04-12,Completed,$78.76
5235,42,2024-03-01,completed,275.57
5236,22,05/07/2024,Cancelled,$304.81
5237,14,04/01/2025,Returned,45.03
5238,22,05/31/2025,,$310.07
5239,28,2025-01-16,,$28.67
5240,23,2025-06-20,,393.84
5241,23,08/27/2024,Completed,$137.71
5242,20,06/10/2024,Completed,$315.41
5243,47,03/22/2025,completed,$164.2
5244,3,08/13/2024,Cancelled,246.6
5245,51,06/27/2025,cancelled,249.75
5246,45,2024-04-25,Cancelled,$253.11
5247,43,08/04/2024,cancelled,311.62
5248,42,2024-02-14,COMPLETED,316.32
5249,17,2024-12-06,completed,132.84
5250,42,2024-03-27,,$23.44
5251,52,04/07/2025,cancelled,$183.02
5252,25,2024-07-09,cancelled,$223.13
5253,31,09/05/2024,completed,$175.38
5254,43,06/04/2024,Completed,$93.55
5255,31,2024-02-19, completed,184.7
5256,60,2024-03-23,COMPLETED,$294.05
5257,41,2025-06-25,returned,$366.1
5258,3,2024-02-12,Completed,$160.47
5259,39,07/19/2024,Cancelled,$246.71
5260,37,2025-04-25,COMPLETED,64.8
5261,24,07/17/2024,cancelled,194.97
5262,29,11/05/2024,Returned,$122.62
5263,42,01/06/2025,completed,333.87
5264,20,04/14/2025, completed,155.66
5265,39,09/27/2024,returned,$277.91
5266,18,2025-04-08,completed,$121.1
5267,57,2024-06-30,,276.38
5268,23,04/28/2024,Cancelled,$320.58
5269,49,2024-09-27,completed,273.64
5270,14,10/18/2024,completed,318.33
5271,6,01/29/2025, completed,164.09
5272,17,2024-12-25, completed,$82.15
5273,12,2024-11-23,Returned,165.78
5274,10,2024-10-10,Cancelled,$154.62
5275,41,05/20/2025,COMPLETED,$131.79
5276,18,2024-02-22, completed,396.24
5277,32,2024-09-06,returned,174.97
5278,50,2024-06-14,completed,140.83
5279,25,2024-04-26,completed,226.49
5280,30,06/13/2025,Completed,346.28
5281,60,06/02/2024,Completed,108.82
5282,42,05/02/2024,,162.1
5283,11,02/14/2025, completed,75.47
5284,23,04/01/2024,completed,$336.19
5285,51,2025-06-10,COMPLETED,$132.53
5286,13,12/02/2024,Cancelled,$305.1
5287,21,2025-02-15,Completed,$154.99
5288,29,10/02/2024,completed,191.42
5289,52,2024-03-08, completed,38.49
5290,24,06/23/2024,Completed,$370.97
5291,2,2024-04-17,Returned,$134.45
5292,8,2025-02-09, completed,$296.54
5293,29,2024-06-28,COMPLETED,112.43
5294,10,2024-02-27,returned,$139.13
5295,32,2024-05-22,Cancelled,52.75
5296,4,09/04/2024,returned,54.72
5297,24,04/18/2025, completed,$370.63
5298,19,04/01/2025,completed,334.27
5299,10,2024-02-17,,$141.64
